flight_path,number_of_flights,mean_departure_delay,probablility_of_dep_delay,max_departure_delay,mean_arrival_delay,probablility_of_arr_delay,max_arrival_delay,flag_Isolation Forest,score_Isolation Forest,flag_Local Outlier Factor,score_Local Outlier Factor,flag_One-Class SVM,score_One-Class SVM,flag_Elliptic Envelope,score_Elliptic Envelope,flag_DBSCAN,score_DBSCAN,votes,consensus
"Bloomington/Normal, IL -> Atlanta, GA",84,10.797619047619047,0.20238095238095238,358.0,-0.8928571428571429,0.23809523809523808,369.0,False,0.12491199208586655,False,0.023542246109849185,False,0.06221174559371532,False,0.0054984150577655645,False,0.0,0,False
"Bloomington/Normal, IL -> Chicago, IL",45,8.11111111111111,0.2222222222222222,242.0,2.533333333333333,0.26666666666666666,231.0,False,0.045126486277820975,False,0.02682521391096949,False,0.04120792193256914,False,0.0013107849195523951,False,0.0,0,False
"Bloomington/Normal, IL -> Dallas/Fort Worth, TX",48,49.729166666666664,0.375,1487.0,51.020833333333336,0.5,1495.0,True,0.7920494876842534,False,0.09213753178275103,True,0.38752617414173046,True,0.1182096805714749,True,0.9999999989999999,4,True
"Bloomington/Normal, IL -> Orlando, FL",14,4.714285714285714,0.5,50.0,4.285714285714286,0.42857142857142855,52.0,False,0.10335617891609943,False,0.020821972635280555,False,0.15769093923593758,False,0.0030017019540981476,False,0.0,0,False
"Bloomington/Normal, IL -> Sanford, FL",11,29.0,0.8181818181818182,97.0,29.363636363636363,0.9090909090909091,102.0,True,0.5562294850982628,False,0.06219049841213418,False,0.24578517745593,False,0.01213923321666427,False,0.0,1,False
"Bloomington/Normal, IL -> St. Petersburg, FL",8,14.375,0.625,84.0,6.25,0.375,82.0,False,0.1683237131754875,False,0.050439780117643225,False,0.1428651316113166,False,0.003829871806414314,False,0.0,0,False
"Boise, ID -> Chicago, IL",61,23.983606557377048,0.29508196721311475,509.0,23.34426229508197,0.4262295081967213,489.0,False,0.2606395570388088,False,0.029247584118318792,False,0.08386501065807575,False,0.00944394177251751,False,0.0,0,False
"Boise, ID -> Dallas/Fort Worth, TX",61,4.049180327868853,0.32786885245901637,92.0,-4.262295081967213,0.3114754098360656,83.0,False,0.02440025159144236,False,0.008836156928442638,False,0.04563845352038135,False,0.00021371482486212424,False,0.0,0,False
"Boise, ID -> Denver, CO",184,2.6467391304347827,0.1793478260869565,212.0,-1.016304347826087,0.2608695652173913,187.0,False,0.07969754009249304,False,0.02711047790099321,False,0.03955789719294047,False,0.002018242657857053,False,0.0,0,False
"Boise, ID -> Houston, TX",31,-0.41935483870967744,0.16129032258064516,49.0,-12.870967741935484,0.12903225806451613,17.0,False,0.15280629233400828,False,0.009961984438669146,False,0.04369518595414003,False,0.002976865626332621,False,0.0,0,False
"Boise, ID -> Las Vegas, NV",71,4.619718309859155,0.3380281690140845,167.0,-3.1971830985915495,0.2112676056338028,164.0,False,0.034280558849977924,False,0.03721573848731544,False,0.03827758185514983,False,0.0011180375787910092,False,0.0,0,False
"Boise, ID -> Los Angeles, CA",112,15.294642857142858,0.2767857142857143,274.0,9.723214285714286,0.35714285714285715,262.0,False,0.08200659437842701,False,0.03230366592433985,False,0.035349329571068615,False,0.002051882375644576,False,0.0,0,False
"Boise, ID -> Minneapolis, MN",51,5.333333333333333,0.2549019607843137,168.0,-7.372549019607843,0.1568627450980392,149.0,False,0.0682621991895013,False,0.06249706393880354,False,0.03002230992204687,False,0.0012875463171528056,False,0.0,0,False
"Boise, ID -> Oakland, CA",64,2.28125,0.1875,255.0,-4.109375,0.15625,249.0,False,0.10989923721224362,False,0.02756671159202055,False,0.055626917192916125,False,0.002716649957956394,False,0.0,0,False
"Boise, ID -> Phoenix, AZ",102,4.480392156862745,0.3137254901960784,188.0,-2.0,0.28431372549019607,170.0,False,0.019227586151235914,False,0.017414134313290374,False,0.016197807162354156,False,0.0005173493280196803,False,0.0,0,False
"Boise, ID -> Portland, OR",56,-3.0535714285714284,0.07142857142857142,45.0,-6.714285714285714,0.23214285714285715,39.0,False,0.13870880144090153,False,0.03670515573797378,False,0.0819445181713897,False,0.001647610586141406,False,0.0,0,False
"Boise, ID -> Sacramento, CA",33,3.1515151515151514,0.30303030303030304,32.0,-7.666666666666667,0.21212121212121213,34.0,False,0.08512059118651194,False,0.011487105364532502,False,0.06375153049389408,False,0.001066075631512587,False,0.0,0,False
"Boise, ID -> Salt Lake City, UT",193,0.18134715025906736,0.15544041450777202,254.0,-3.4248704663212437,0.26424870466321243,248.0,False,0.1379908504366548,False,0.04460940530856758,False,0.06992348405453652,False,0.0016008470802108558,False,0.0,0,False
"Boise, ID -> San Diego, CA",62,-0.20967741935483872,0.20967741935483872,52.0,-5.806451612903226,0.27419354838709675,33.0,False,0.08282714668567298,False,0.01509712989745568,False,0.04099373265102523,False,0.0011132717960508857,False,0.0,0,False
"Boise, ID -> San Francisco, CA",146,18.595890410958905,0.3561643835616438,364.0,12.452054794520548,0.3904109589041096,363.0,False,0.1313876157271407,False,0.02712063508357236,False,0.028961590809649277,False,0.0025492878643315568,False,0.0,0,False
"Boise, ID -> San Jose, CA",62,-3.4193548387096775,0.08064516129032258,36.0,-7.112903225806452,0.1935483870967742,26.0,False,0.15615980664494047,False,0.0332818717208354,False,0.076400815934571,False,0.001966593255271741,False,0.0,0,False
"Boise, ID -> Seattle, WA",218,-0.13302752293577982,0.1559633027522936,172.0,-8.793577981651376,0.23394495412844038,153.0,False,0.1697097139445467,False,0.051727269002187555,False,0.06942765022890707,False,0.0023750955736905263,False,0.0,0,False
"Boise, ID -> Spokane, WA",52,4.865384615384615,0.25,91.0,-2.1153846153846154,0.25,79.0,False,0.022902708961844254,False,0.020010630676778437,False,0.03423946424212719,False,0.0006850795866302949,False,0.0,0,False
"Boston, MA -> Atlanta, GA",506,15.100790513833992,0.4090909090909091,467.0,6.592885375494071,0.3794466403162055,475.0,False,0.31443222954179767,False,0.0219055589309882,False,0.1201275731099419,False,0.012032918241521263,False,0.0,0,False
"Boston, MA -> Austin, TX",77,21.818181818181817,0.37662337662337664,605.0,8.597402597402597,0.3116883116883117,601.0,False,0.2400757311123976,False,0.03230381391689531,False,0.12062132238161602,False,0.014990686127670908,False,0.0,0,False
"Boston, MA -> Baltimore, MD",383,16.92167101827676,0.34986945169712796,685.0,10.872062663185378,0.34986945169712796,684.0,False,0.3408617399529379,False,0.028990543925678413,False,0.10851018808379169,False,0.01388796597647001,False,0.0,0,False
"Boston, MA -> Buffalo, NY",135,15.133333333333333,0.2962962962962963,489.0,8.674074074074074,0.3111111111111111,522.0,False,0.16792477550429952,False,0.015078175980914618,False,0.058553486387994465,False,0.011190357689265422,False,0.0,0,False
"Boston, MA -> Burbank, CA",27,12.925925925925926,0.48148148148148145,174.0,-5.444444444444445,0.2962962962962963,137.0,False,0.08210152051478613,False,0.06680786840559916,False,0.10708702686030121,False,0.004456415542456449,False,0.0,0,False
"Boston, MA -> Charleston, SC",33,9.151515151515152,0.3333333333333333,98.0,0.7575757575757576,0.36363636363636365,95.0,False,0.015764062307357152,False,0.01571944529374712,False,0.0648244350460896,False,0.0009166906757237472,False,0.0,0,False
"Boston, MA -> Charlotte, NC",308,10.532467532467532,0.3181818181818182,387.0,4.2272727272727275,0.31493506493506496,371.0,False,0.1369259018955601,False,0.025539827402561402,False,0.07750094376730358,False,0.003354731078335633,False,0.0,0,False
"Boston, MA -> Chicago, IL",513,22.41130604288499,0.3664717348927875,1205.0,19.77777777777778,0.42300194931773877,1236.0,True,0.626952985480442,False,0.05361305809800231,True,0.25147229279272315,True,0.06961253891795775,False,0.0,3,True
"Boston, MA -> Cincinnati, OH",99,19.818181818181817,0.2727272727272727,307.0,10.212121212121213,0.2828282828282828,329.0,False,0.1592231916037316,False,0.03201516035538306,False,0.06815528333448181,False,0.007179216085891349,False,0.0,0,False
"Boston, MA -> Cleveland, OH",137,21.605839416058394,0.41605839416058393,303.0,15.832116788321168,0.34306569343065696,309.0,False,0.1552088785807338,False,0.062390545023144395,False,0.06251689083312377,False,0.004637087817739413,False,0.0,0,False
"Boston, MA -> Columbus, OH",96,16.40625,0.3229166666666667,342.0,7.447916666666667,0.2604166666666667,355.0,False,0.12147302443752178,False,0.03376061483552061,False,0.05507257612200365,False,0.004280334768123706,False,0.0,0,False
"Boston, MA -> Dallas, TX",29,8.931034482758621,0.3448275862068966,227.0,-2.9310344827586206,0.3793103448275862,184.0,False,0.03053412111365042,False,0.12046367599771854,False,0.0703553483186138,False,0.005049771256713288,False,0.0,0,False
"Boston, MA -> Dallas/Fort Worth, TX",207,13.043478260869565,0.33816425120772947,657.0,4.043478260869565,0.3671497584541063,646.0,False,0.26100814684665424,False,0.0293424119662316,False,0.11310143128937912,False,0.0180239934608929,False,0.0,0,False
"Boston, MA -> Denver, CO",221,12.095022624434389,0.3665158371040724,726.0,-0.7692307692307693,0.2669683257918552,716.0,False,0.3270403234979835,False,0.03826299991567314,False,0.16793942936477252,False,0.026308586779688586,False,0.0,0,False
"Boston, MA -> Detroit, MI",249,26.606425702811244,0.3413654618473896,591.0,18.843373493975903,0.3253012048192771,606.0,False,0.32077826390563613,False,0.07009392957694278,False,0.11168621455444905,False,0.011701256393226509,False,0.0,0,False
"Boston, MA -> Fort Lauderdale, FL",239,23.02092050209205,0.401673640167364,533.0,14.07531380753138,0.401673640167364,527.0,False,0.24411443631983215,False,0.0407822461555246,False,0.06985231617704699,False,0.006461824993893611,False,0.0,0,False
"Boston, MA -> Fort Myers, FL",242,20.793388429752067,0.43388429752066116,379.0,9.776859504132231,0.39669421487603307,393.0,False,0.1891949727699997,False,0.044331122393130626,False,0.07739228969170973,False,0.005718536363579065,False,0.0,0,False
"Boston, MA -> Hayden, CO",8,8.125,0.625,29.0,-4.625,0.25,34.0,False,0.24469002078476568,False,0.03930892193247031,False,0.20436794817855977,False,0.006060228637881572,False,0.0,0,False
"Boston, MA -> Houston, TX",146,11.246575342465754,0.3013698630136986,426.0,2.1232876712328768,0.3013698630136986,426.0,False,0.13651426653849322,False,0.019190327981674676,False,0.053576456287714035,False,0.004993992083798794,False,0.0,0,False
"Boston, MA -> Indianapolis, IN",94,5.595744680851064,0.2553191489361702,130.0,2.648936170212766,0.39361702127659576,168.0,False,0.025445970382683772,False,0.021121672528576132,False,0.03432025639208737,False,0.0036728238952378747,False,0.0,0,False
"Boston, MA -> Jacksonville, FL",131,15.358778625954198,0.35877862595419846,318.0,7.8396946564885495,0.35877862595419846,302.0,False,0.07605765969316255,False,0.01906130023859102,False,0.025107766218104045,False,0.001386432305272185,False,0.0,0,False
"Boston, MA -> Kansas City, MO",72,29.791666666666668,0.2777777777777778,823.0,15.25,0.2916666666666667,827.0,False,0.4053293516286971,False,0.03440168505852242,False,0.13943710367050088,False,0.03212823160161452,False,0.0,0,False
"Boston, MA -> Las Vegas, NV",141,13.936170212765957,0.3191489361702128,329.0,-4.028368794326241,0.3049645390070922,341.0,False,0.1226406925823802,False,0.08128008497199764,False,0.060795531477821456,False,0.008494096484386867,False,0.0,0,False
"Boston, MA -> Long Beach, CA",52,16.23076923076923,0.5192307692307693,123.0,-3.173076923076923,0.3269230769230769,114.0,False,0.12968003100489284,False,0.05901169593261871,False,0.11465368860601667,False,0.005189447233782798,False,0.0,0,False
"Boston, MA -> Los Angeles, CA",378,13.153439153439153,0.2857142857142857,727.0,-2.0925925925925926,0.2566137566137566,743.0,False,0.40927771186087225,False,0.04141688583246062,False,0.19390258381106815,False,0.025137680783705207,False,0.0,0,False
"Boston, MA -> Miami, FL",200,8.32,0.34,273.0,-1.705,0.36,259.0,False,0.06597443584539761,False,0.0266096045249172,False,0.05189289328069549,False,0.0019895343735701655,False,0.0,0,False
"Boston, MA -> Milwaukee, WI",62,13.306451612903226,0.3064516129032258,232.0,8.016129032258064,0.3709677419354839,223.0,False,0.04130393926936661,False,0.011146004793246109,False,0.036416857484541314,False,0.0010279785103711587,False,0.0,0,False
"Boston, MA -> Minneapolis, MN",242,28.15289256198347,0.4049586776859504,1032.0,16.950413223140497,0.3677685950413223,1084.0,False,0.4722316628794768,False,0.03966932811525307,False,0.08055921624672165,True,0.061824610235462596,False,0.0,1,False
"Boston, MA -> Myrtle Beach, SC",30,33.06666666666667,0.4,384.0,24.466666666666665,0.36666666666666664,376.0,False,0.25699599237741566,False,0.03598483089577048,False,0.09944754433019572,False,0.01314072406690469,False,0.0,0,False
"Boston, MA -> Nashville, TN",181,17.337016574585636,0.3812154696132597,329.0,8.430939226519337,0.34806629834254144,328.0,False,0.11235124673123204,False,0.03456625713849554,False,0.03899427936027715,False,0.002196627411103411,False,0.0,0,False
